merchant,description,mcc,transaction_type,label,source
5Ka City,Synthetic payment at 5ka,5451,expense,2,seed_keywords_v1
5Ka Express,Synthetic 5ka receipt,5462,expense,2,seed_keywords_v1
5Ka Online,Synthetic card operation 5ka,5411,expense,2,seed_keywords_v1
5Ka Pay,Synthetic no mcc operation 5ka,0,expense,2,seed_no_mcc_v1
5Ka Pay,Synthetic 5ka purchase,5441,expense,2,seed_keywords_v1
5Ka Store,Synthetic online payment 5ka,5499,expense,2,seed_keywords_v1
Auchan City,Synthetic online payment auchan,5422,expense,2,seed_keywords_v1
Auchan Express,Synthetic card operation auchan,5441,expense,2,seed_keywords_v1
Auchan Online,Synthetic payment at auchan,5499,expense,2,seed_keywords_v1
Auchan Pay,Synthetic auchan receipt,5411,expense,2,seed_keywords_v1
Auchan Store,Synthetic no mcc operation auchan,0,expense,2,seed_no_mcc_v1
Auchan Store,Synthetic auchan purchase,5462,expense,2,seed_keywords_v1
Bristol City,Synthetic payment at bristol,5411,expense,2,seed_keywords_v1
Bristol Express,Synthetic bristol receipt,5422,expense,2,seed_keywords_v1
Bristol Online,Synthetic card operation bristol,5451,expense,2,seed_keywords_v1
Bristol Pay,Synthetic no mcc operation bristol,0,expense,2,seed_no_mcc_v1
Bristol Pay,Synthetic bristol purchase,5499,expense,2,seed_keywords_v1
Bristol Store,Synthetic online payment bristol,5441,expense,2,seed_keywords_v1
Dixy City,Synthetic payment at dixy,5422,expense,2,seed_keywords_v1
Dixy Express,Synthetic dixy receipt,5441,expense,2,seed_keywords_v1
Dixy Online,Synthetic card operation dixy,5462,expense,2,seed_keywords_v1
Dixy Pay,Synthetic no mcc operation dixy,0,expense,2,seed_no_mcc_v1
Dixy Pay,Synthetic dixy purchase,5411,expense,2,seed_keywords_v1
Dixy Store,Synthetic online payment dixy,5451,expense,2,seed_keywords_v1
Grocery City,Synthetic grocery receipt,5499,expense,2,seed_keywords_v1
Grocery Express,Synthetic online payment grocery,5411,expense,2,seed_keywords_v1
Grocery Online,Synthetic no mcc operation grocery,0,expense,2,seed_no_mcc_v1
Grocery Online,Synthetic grocery purchase,5451,expense,2,seed_keywords_v1
Grocery Pay,Synthetic payment at grocery,5462,expense,2,seed_keywords_v1
Grocery Store,Synthetic card operation grocery,5422,expense,2,seed_keywords_v1
Lenta City,Synthetic no mcc operation lenta,0,expense,2,seed_no_mcc_v1
Lenta City,Synthetic lenta purchase,5441,expense,2,seed_keywords_v1
